Gene,Coefficient,Abs_Coefficient
MIA2,0.0533380690328892,0.0533380690328892
SEPTIN7P8,0.0528207446402093,0.0528207446402093
ENSG00000259715,0.0523397377912904,0.0523397377912904
ENSG00000272402,0.0518419898432711,0.0518419898432711
LPL,0.0516686581987288,0.0516686581987288
RPS24P19,0.0514757474751742,0.0514757474751742
LGALSL,0.0510855702413573,0.0510855702413573
LINC00622,0.0507748593445653,0.0507748593445653
ENSG00000268240,0.0505587838584029,0.0505587838584029
ENSG00000197582,0.0505260657995453,0.0505260657995453
MDGA1,0.0503758581467954,0.0503758581467954
RFX3-DT,0.0499972253001768,0.0499972253001768
ENSG00000252690,0.0494617590515115,0.0494617590515115
ENSG00000012817,0.0492182627347738,0.0492182627347738
DSP,0.0489646584891686,0.0489646584891686
GK4P,0.0485330429382453,0.0485330429382453
SLX4IP,0.0483537550861163,0.0483537550861163
ENSG00000260197,0.0483056167140393,0.0483056167140393
TMEM132C,0.0481601352217545,0.0481601352217545
NKAPL,0.0481560217090402,0.0481560217090402
ENSG00000213088,0.0480786338891979,0.0480786338891979
ENSG00000241772,0.0480721820256204,0.0480721820256204
TRPC6P10,0.0470113652070179,0.0470113652070179
ENSG00000227827,0.0465194868863436,0.0465194868863436
ENSG00000253520,0.0464605645379941,0.0464605645379941
C5orf34-AS1,0.0463177732113839,0.0463177732113839
ETV5,0.0461759261047601,0.0461759261047601
APOBEC3B,0.0457316253307058,0.0457316253307058
ENSG00000260787,0.0455518115673993,0.0455518115673993
ENSG00000188987,0.0454984254275438,0.0454984254275438
ENSG00000269951,0.0451563480819324,0.0451563480819324
ENSG00000099725,0.045091708795422,0.045091708795422
VCAM1,0.0445424384231442,0.0445424384231442
ENSG00000212884,-0.0442940306801671,0.0442940306801671
SNX18P3,0.0434453867721027,0.0434453867721027
MINAR1,0.0428350454453786,0.0428350454453786
LINC00656,0.0419850353052624,0.0419850353052624
ENSG00000272403,0.0413484132654846,0.0413484132654846
GAB4,0.041247843615891,0.041247843615891
LGI2,0.0411841550142614,0.0411841550142614
ENSG00000176728,0.0411213058636526,0.0411213058636526
ENSG00000271828,0.0411000307535157,0.0411000307535157
NPM1P27,0.0406619232837013,0.0406619232837013
TANC1,0.0405713313306453,0.0405713313306453
ERRFI1,0.0403987407690964,0.0403987407690964
ENSG00000154620,0.040333046443217,0.040333046443217
CYYR1,0.0398315402564753,0.0398315402564753
KCNA5,0.0393846422084767,0.0393846422084767
ENSG00000233864,0.0392575285885679,0.0392575285885679
RPL7P23,0.0391074994571432,0.0391074994571432
RPL9P33,0.0385193855656933,0.0385193855656933
ENSG00000259628,0.0377785469470059,0.0377785469470059
ENSG00000261098,0.0374532341768424,0.0374532341768424
ENSG00000074803,0.0364712846998813,0.0364712846998813
PTGS2,-0.0361256690490162,0.0361256690490162
LINC00189,0.0357530999542712,0.0357530999542712
NDUFB2-AS1,0.0354320982243596,0.0354320982243596
RNU6-1095P,0.035337361788832,0.035337361788832
ENSG00000189127,-0.0352379761605186,0.0352379761605186
SNRK-AS1,0.0350992179372276,0.0350992179372276
HMGB1P10,0.035089511262001,0.035089511262001
IGLVI-70,-0.0345725984594356,0.0345725984594356
USP9Y,0.0344822219020298,0.0344822219020298
RPL8P5,0.0344613307855002,0.0344613307855002
LDHC,0.0341822120706006,0.0341822120706006
ARRDC4,0.0341519918369425,0.0341519918369425
DPH6,0.0341132603249464,0.0341132603249464
