Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ACER3-AS1,1.0,2.0,3.0,9.0,1.0,3.0,1.0,1.0,1.0,3.0
ACHE,1968.0,753.001,1057.0,2956.998,1730.999,1713.0,386.002,1293.001,1369.0,928.001
ACIN1,4690.629,3061.897,4007.136,5846.945,2681.495,5412.428,3894.156,4102.821,4563.465,5070.367
ACKR1,815.001,505.0,235.0,1050.001,129.0,301.0,494.0,438.999,246.999,405.999
ACKR2,70.989,45.836,61.154,108.399,39.281,76.453,25.05,72.464,80.483,68.9
ACKR3,454.0,273.0,245.0,325.0,138.0,301.0,232.0,227.0,348.0,382.0
ACKR4,11.076,14.0,24.0,27.0,8.0,28.0,23.0,41.0,10.0,21.777
ACKR4P1,1.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.223
ACKR5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACLY,5053.0,2051.0,2545.001,5450.001,2924.999,3955.001,1276.999,3718.0,3666.0,2494.999
ACMSD,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0
ACNATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,1287.248,903.495,836.1,1482.273,682.22,1199.098,563.022,861.161,1112.411,1015.07
ACO2,5528.765,4342.999,4554.759,7627.999,4308.918,5905.998,2656.997,3795.863,5429.0,3586.0
ACO2P1,0.0,0.0,0.0,0.0,0.0,1.002,0.0,0.0,0.0,0.0
ACO2P2,0.0,0.0,0.0,0.0,0.0,0.0,1.003,0.0,0.0,0.0
ACOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT1,144.657,144.752,173.767,166.344,49.777,145.441,39.698,93.322,114.088,131.096
ACOT11,543.883,357.62,489.379,648.197,363.285,589.679,319.344,380.72,571.493,545.803
ACOT12,4.0,0.0,0.0,6.0,1.0,12.0,1.0,3.0,1.0,2.0
ACOT13,958.579,639.538,682.42,1121.877,509.517,882.858,462.224,759.414,891.851,730.286
ACOT2,396.347,353.261,420.565,558.666,224.223,470.562,249.301,313.716,444.952,316.908
ACOT4,58.0,17.0,36.0,50.0,55.889,47.0,8.0,32.0,37.0,23.0
ACOT4P1,8.0,6.0,9.0,10.0,3.111,7.0,3.0,5.0,7.0,3.0
ACOT6,5.0,1.0,1.0,7.0,0.0,1.0,5.0,3.0,4.0,1.0
ACOT7,3332.986,1766.98,1784.971,3834.974,2318.976,2423.964,707.994,1948.978,2092.926,1228.928
ACOT8,537.442,477.998,459.007,753.004,361.999,666.0,356.724,427.999,554.003,444.001
ACOT9,880.086,423.013,463.493,781.445,386.949,538.171,332.21,475.636,641.912,553.152
